order|section_id|layout|title|subtitle|bullets|speaker_notes|media_ref|chart_ref
1||Title|The Future of Agency: AI SEO with Will Scott|Navigating the AI-Powered Search Landscape||Welcome everyone. I'm Will Scott, founder of Search Influence. For the next 45 minutes, we're going to talk about the biggest shift in search since Google's founding - and what it means for agencies like yours. This isn't theoretical - this is happening right now, and the agencies that adapt first will have a massive competitive advantage.||
2||Content|From Search to Synthesis|How AI Is Rewriting Visibility|The paradigm shift every agency must understand|We're moving from a world where search engines ranked pages to a world where AI synthesizes answers. That changes everything - how we optimize, what we measure, and how we prove value to clients. By the end of this presentation, you'll have a clear framework for navigating this transition.||
3||Content|About Will Scott & Search Influence|20 years in digital marketing|Founder & CEO, Search Influence • 9× Inc 5000 honoree • SMX Master Class instructor • Tagline: "We optimize potential"|Quick context on who I am: I've been in digital marketing for 20 years, built Search Influence into a 9-time Inc 5000 company, and I teach the SMX Master Class on AI search optimization. Our mission at Search Influence is simple: "We optimize potential" - and that's never been more important than right now.||
4|S1|Section|The Only Constant Is Change|Opening Story & Conflict|"The only constant is change." — Heraclitus|Let's start with an ancient truth. Heraclitus said this 2,500 years ago, and it's never been more relevant to SEO. Every decade brings a major shift - and every shift creates new winners and new losers. We're in one of those shifts right now.||
5|S1|Content|AI "Wow" Moment|My AI Wake-Up Call|Testing ChatGPT for the first time • Asked: "Who are the leaders in local SEO?" • Realized: Traffic metrics suddenly incomplete • The moment everything changed|STORY TIME: I'll never forget the first time I asked ChatGPT "Who are the leaders in local SEO?" It gave me a comprehensive answer, synthesized from dozens of sources, with no links to click. And I thought: "Wait - if this is how people search now, then traffic, CTR, bounce rate... all the metrics we've been optimizing for... they're becoming less relevant." That was my "oh no" moment. But then I realized - there's a new metric that matters: citation. Being referenced, being the source, being the authority AI quotes.||
6|S1|Content|The Goal Shift: Traffic → Citation|The Old Goal vs The New Goal|OLD GOAL: Rank #1, Get the click, Drive traffic, Measure pageviews • NEW GOAL: Be the source, Earn the citation, Build authority, Measure mentions|PAUSE HERE. This is the mental shift that changes everything. For 25 years, we optimized for clicks. Now we optimize for citations. Traffic is still important - but visibility is more important. Being mentioned in an AI-generated answer reaches users we'll never see in our analytics. This is the new game.||
7|S1|Content|Before vs After SERP|The SERP You Know vs The SERP That's Coming|Left: Traditional 10 blue links • Right: AI Overview dominating, organic pushed down|Look at the difference. On the left - the SERP we've optimized for since the '90s. On the right - what users actually see in 2025. That AI Overview at the top? It's not just one result - it's synthesized from multiple sources. If you're not in that synthesis, you might as well not exist. And notice how far down the traditional results have been pushed.||
8|S1|Content|Search Evolution Timeline|Every Shift Creates New Winners|1995: Yahoo Directory → categorization wins • 1998: Google PageRank → links win • 2005: Personalization → relevance wins • 2011: Panda/Penguin → quality wins • 2015: Mobile-first → speed wins • 2018: Voice search → answers win • 2024: AI synthesis → authority wins|Here's the pattern: every major technological shift in search creates new winners. Directory SEO experts became obsolete. Link spammers got wiped out. Content farms died. The good news? These shifts reward those who adapt quickly. We're in one of those moments right now.||
9|S1|Content|We Can't Outrun Algorithms|But we can teach them who we are|"We can't outrun the algorithms — but we can teach them who we are."|Here's the empowering part: you don't have to beat AI - you have to work with it. AI needs sources. It needs authorities. It needs structured, clear, trustworthy information. If you provide that, you become the cited source. Understanding the algorithm gives you control.||
10|S2|Section|Very Soon, AI Will Be Everywhere|Impact of AI on Search|The Automation Revolution Is Here|This isn't coming - it's here. ChatGPT hit 200 million weekly users faster than any product in history. Google's AI Overviews are live. Perplexity is growing exponentially. AI search is becoming the default behavior, especially for younger demographics. Your clients' customers are already using this.||
11|S2|Content|13% → 25.8% AIOs|AI Overviews Are Everywhere Now|Semrush (early 2024): 13% • WebFX Study (2025): 25.8% • Nearly doubled in one year|In just one year, we've seen AI Overviews nearly double. Semrush reported 13% of searches showed AIOs in early 2024. WebFX's 2025 study shows 25.8%. That's not a trend - that's a takeover. And this number is still growing.||
12|S2|Content|CTR Collapse 28% → 19%|The #1 Position Isn't What It Used To Be|28% CTR for #1 → 19% CTR • 32% decline in clicks to top position|Here's the devastating impact: The #1 organic position used to get 28% of clicks. Now it's 19%. That's a 32% decline in traffic even when you rank #1. STORY: I consulted with an agency that lost a $15,000/month client who said "Our rankings are up but traffic is down - what are you doing wrong?" The agency wasn't doing anything wrong. The landscape changed. This is the conversation you need to have with every client right now.||
13|S2|Content|User Behavior Shift|How Users Behave With AI Overviews|With AIO present: 8% click through • Without AIO: 15% click through • Result: 47% reduction in click behavior|When an AI Overview appears, user behavior fundamentally changes. Only 8% click through to traditional results, compared to 15% without an AIO. Users trust the AI-generated answer. They don't feel the need to verify. This is why visibility in the AIO itself is critical.||
14|S2|Content|Zero-Click Trend 56% → 69%|The Rise of Zero-Click Searches|56% → 69% of searches end without a click • More than two-thirds have no click • Answer quality matters more than ranking|This is the macro trend: zero-click searches have grown from 56% to 69%. More than two-thirds of searches now end without anyone clicking on anything. Google answers the question right in the SERP. So the question becomes: Are you the source Google is citing? Are you in that answer?||
15|S2|Content|Visibility ≠ Traffic|The New Equation|OLD: Visibility = Rankings → Traffic → Conversions • NEW: Visibility = Citations → Authority → Mindshare → Eventual conversions|This is the conversation you need to have with every client in Q1 2025. Visibility no longer equals traffic. You can have massive visibility - millions of impressions in AI answers - with zero clicks. But that visibility builds authority, shapes perception, and drives long-term conversions. We have to reframe success metrics.||
